ORIGIN,FL_DATE,temperature_max,precipitation_mm,windspeed_max_kmh
ATL,2023-06-16,29.1,0.2,17.9
DFW,2022-06-07,34.4,0.0,27.6
PHX,2023-06-16,38.3,0.0,23.7
DEN,2019-06-21,19.8,4.2,25.2
SEA,2023-06-17,18.9,6.4,16.0
SEA,2019-06-17,24.9,0.0,7.9
ORD,2019-06-07,23.0,0.0,15.7
ATL,2021-06-27,29.5,1.9,16.2
PHX,2020-06-09,34.0,0.0,32.0
ATL,2022-06-12,32.3,0.3,10.5
LAS,2019-06-04,36.0,0.0,14.1
CLT,2019-06-05,30.2,0.2,17.1
LAX,2019-06-18,20.0,0.0,23.7
ATL,2022-06-11,29.9,0.7,10.5
ORD,2023-06-21,29.0,0.0,17.7
DFW,2022-06-09,32.5,4.1,20.2
DFW,2022-06-01,33.8,3.3,26.1
LAX,2019-06-14,19.3,0.0,23.0
ORD,2020-06-15,21.0,0.0,14.5
DEN,2020-06-12,30.6,0.0,30.9
PHX,2023-06-29,40.2,0.0,13.0
MCO,2020-06-28,34.8,0.0,10.3
DEN,2022-06-10,34.2,0.0,19.1
DFW,2021-06-30,29.5,7.5,8.7
MCO,2023-06-30,33.3,0.3,17.4
DEN,2022-06-11,35.8,0.0,29.1
LAX,2021-06-04,21.6,0.0,17.7
ORD,2019-06-05,27.4,15.2,17.6
ORD,2023-06-14,23.0,0.2,13.1
MCO,2019-06-28,32.0,8.7,18.2
MCO,2020-06-13,28.1,1.2,10.7
MCO,2023-06-19,34.3,2.5,18.0
DFW,2020-06-16,32.5,0.4,21.9
CLT,2023-06-08,26.5,0.3,14.7
DEN,2022-06-30,28.6,5.3,30.1
DFW,2021-06-17,34.2,0.0,20.1
DFW,2020-06-14,33.7,0.0,17.7
PHX,2021-06-25,41.0,0.0,21.0
MCO,2021-06-01,32.2,0.0,22.5
